neighbourhood,avgPrice,hostCount
Allerton,87.5952380952381,27
Arden Heights,67.25,4
Arrochar,115.0,10
Arverne,171.7792207792208,62
Astoria,104.35946248600224,742
Bath Beach,81.76470588235294,13
Battery Park City,372.5625,57
Bay Ridge,145.68345323741008,113
Bay Terrace,142.0,5
"Bay Terrace, Staten Island",102.5,2
Baychester,75.42857142857143,5
Bayside,157.94871794871796,27
Bayswater,87.47058823529412,15
Bedford-Stuyvesant,106.60156883959968,2767
Belle Harbor,171.5,7
Bellerose,99.35714285714286,11
Belmont,77.125,19
Bensonhurst,75.78666666666666,55
Bergen Beach,106.7,10
Boerum Hill,175.9257142857143,154
Borough Park,63.06617647058823,74
Breezy Point,213.33333333333334,2
Briarwood,105.875,36
Brighton Beach,131.93333333333334,59
Bronxdale,57.10526315789474,18
Brooklyn Heights,210.94039735099338,145
Brownsville,76.9,47
Bull's Head,47.333333333333336,3
Bushwick,84.80775510204082,1882
Cambria Heights,81.73076923076923,22
Canarsie,104.36734693877551,100
Carroll Gardens,175.91416309012877,208
Castle Hill,63.0,3
Castleton Corners,139.75,4
Chelsea,251.47522935779816,890
Chinatown,161.8415300546448,326
City Island,173.0,16
Civic Center,192.76470588235293,49
Claremont Village,86.79166666666667,20
Clason Point,112.76190476190476,14
Clifton,84.93333333333334,9
Clinton Hill,181.98070175438596,491
Co-op City,77.5,2
Cobble Hill,211.92929292929293,93
College Point,88.0,18
Columbia St,162.95238095238096,38
Concord,58.19230769230769,10
Concourse,86.18,42
Concourse Village,73.78125,31
Coney Island,123.70588235294117,10
Corona,59.171875,36
Crown Heights,111.29581993569131,1291
Cypress Hills,130.1203007518797,90
DUMBO,196.30555555555554,32
Ditmars Steinway,95.38762214983713,252
Dongan Hills,79.42857142857143,5
Douglaston,82.75,6
Downtown Brooklyn,150.96341463414635,77
Dyker Heights,93.41666666666667,10
East Elmhurst,81.18378378378378,114
East Flatbush,104.36767676767677,318
East Harlem,133.5103884372177,885
East Morrisania,85.0,5
East New York,85.6589861751152,129
East Village,185.33768352365416,1610
Eastchester,141.69230769230768,2
Edenwald,82.0,11
Edgemere,94.72727272727273,9
Elmhurst,80.45991561181435,143
Eltingville,141.66666666666666,3
Emerson Hill,68.2,5
Far Rockaway,165.86206896551724,20
Fieldston,75.08333333333333,11
Financial District,224.10217983651225,369
Flatbush,92.32142857142857,516
Flatiron District,341.925,77
Flatlands,126.43373493975903,65
Flushing,93.51408450704226,209
Fordham,68.42622950819673,37
Forest Hills,106.04195804195804,103
Fort Greene,151.61111111111111,403
Fort Hamilton,93.81818181818181,48
Fort Wadsworth,800.0,1
Fresh Meadows,99.5,20
Glendale,90.79629629629629,45
Gowanus,158.80161943319837,202
Gramercy,223.3323353293413,292
Graniteville,68.66666666666667,3
Grant City,57.666666666666664,3
Gravesend,79.01470588235294,43
Great Kills,100.6,7
Greenpoint,144.65585585585586,872
Greenwich Village,266.0211081794195,354
Grymes Hill,159.14285714285714,7
Harlem,117.8375,2101
Hell's Kitchen,203.4637904468413,1355
Highbridge,70.96153846153847,18
Hollis,88.64285714285714,10
Holliswood,135.75,4
Howard Beach,115.4,15
Howland Hook,100.0,2
Huguenot,118.33333333333333,2
Hunts Point,50.5,8
Inwood,89.0597609561753,212
Jackson Heights,81.14594594594594,133
Jamaica,95.77056277056278,138
Jamaica Estates,182.94736842105263,16
Jamaica Hills,132.125,6
Kensington,93.16091954022988,142
Kew Gardens,88.3225806451613,20
Kew Gardens Hills,112.3076923076923,23
Kingsbridge,77.92857142857143,56
Kips Bay,203.17849462365592,370
Laurelton,95.33333333333333,13
Lighthouse Hill,157.5,2
Little Italy,223.575,97
Little Neck,75.2,4
Long Island City,127.4859287054409,439
Longwood,91.91935483870968,49
Lower East Side,176.2093023255814,769
Manhattan Beach,103.5,7
Marble Hill,89.16666666666667,10
Mariners Harbor,94.625,8
Maspeth,83.64545454545454,77
Melrose,83.3,10
Middle Village,109.58064516129032,24
Midland Beach,91.83333333333333,6
Midtown,282.38375900458414,970
Midwood,79.72897196261682,93
Mill Basin,179.75,4
Morningside Heights,114.78323699421965,309
Morris Heights,76.94117647058823,15
Morris Park,69.33333333333333,9
Morrisania,83.44444444444444,14
Mott Haven,88.91666666666667,48
Mount Eden,58.5,6
Mount Hope,81.58823529411765,16
Murray Hill,221.16977225672878,276
Navy Yard,151.64285714285714,14
Neponsit,274.6666666666667,3
New Brighton,101.8,4
New Dorp,57.0,1
New Dorp Beach,57.4,4
New Springville,76.0,6
NoHo,295.71794871794873,66
Nolita,229.656,221
North Riverdale,83.22222222222223,7
Norwood,75.54838709677419,30
Oakwood,81.2,3
Olinville,77.0,3
Ozone Park,85.2741935483871,49
Park Slope,176.30538922155688,457
Parkchester,69.05263157894737,28
Pelham Bay,105.0,15
Pelham Gardens,93.60714285714286,23
Port Morris,79.8913043478261,26
Port Richmond,90.11111111111111,5
Prince's Bay,409.5,4
Prospect Heights,173.7556179775281,311
Prospect-Lefferts Gardens,105.97373358348968,441
Queens Village,84.50847457627118,47
Randall Manor,336.0,12
Red Hook,143.45569620253164,73
Rego Park,83.64761904761905,78
Richmond Hill,86.66666666666667,59
Richmondtown,78.0,1
Ridgewood,77.1303317535545,325
Riverdale,442.09090909090907,9
Rockaway Beach,132.17857142857142,47
Roosevelt Island,96.32894736842105,67
Rosebank,111.85714285714286,7
Rosedale,76.69491525423729,38
Rossville,75.0,1
Schuylerville,69.23076923076923,7
Sea Gate,487.85714285714283,5
Sheepshead Bay,106.11656441717791,117
Shore Acres,152.71428571428572,7
Silver Lake,70.0,2
SoHo,287.4760563380282,298
Soundview,53.46666666666667,10
South Beach,89.25,7
South Ozone Park,82.4,23
South Slope,148.18279569892474,240
Springfield Gardens,94.23529411764706,49
Spuyten Duyvil,180.0,3
St. Albans,100.82894736842105,50
St. George,118.53191489361703,36
Stapleton,98.96296296296296,19
Stuyvesant Town,169.1081081081081,36
Sunnyside,84.9475138121547,265
Sunset Park,112.83462532299741,306
Theater District,249.06993006993008,139
Throgs Neck,91.04166666666667,17
Todt Hill,169.0,3
Tompkinsville,76.19047619047619,25
Tottenville,144.85714285714286,6
Tremont,51.54545454545455,8
Tribeca,456.4943181818182,136
Two Bridges,127.02816901408451,63
Unionport,137.14285714285714,6
University Heights,69.57142857142857,14
Upper East Side,189.14517029592406,1402
Upper West Side,211.66137295081967,1574
Van Nest,113.81818181818181,7
Vinegar Hill,183.75757575757575,31
Wakefield,85.58,41
Washington Heights,89.98529411764706,752
West Brighton,80.55555555555556,9
West Farms,122.0,2
West Village,264.8050065876153,689
Westchester Square,122.2,7
Westerleigh,71.5,2
Whitestone,107.54545454545455,8
Williamsbridge,96.75,27
Williamsburg,143.5416238437821,3346
Willowbrook,249.0,1
Windsor Terrace,138.05161290322582,134
Woodhaven,67.17045454545455,45
Woodlawn,60.09090909090909,9
Woodrow,700.0,1
Woodside,85.09787234042552,147
